No,全国地方公共団体コード,都道府県名,公表_年月日,確保数_病床,確保数_宿泊療養施設,保有数_人工呼吸器,保有数_ECMO
1,330001,岡山県,2020/5/15,117,78,517,28
2,330001,岡山県,2020/6/30,220,78,517,28
3,330001,岡山県,2020/7/30,250,207,517,28
4,330001,岡山県,2020/9/29,257,207,517,28
5,330001,岡山県,2020/10/30,281,207,517,28
6,330001,岡山県,2020/11/24,302,207,517,28
7,330001,岡山県,2020/12/22,401,207,517,28
8,330001,岡山県,2021/2/19,406,207,517,28
9,330001,岡山県,2021/3/26,412,207,517,28
10,330001,岡山県,2021/5/7,412,404,517,28
11,330001,岡山県,2021/5/20,482,404,517,28
12,330001,岡山県,2021/5/28,492,404,742,35
13,330001,岡山県,2021/8/5,557,404,745,35
14,330001,岡山県,2021/8/20,557,507,745,35
15,330001,岡山県,2021/9/30,557,507,755,35
16,330001,岡山県,2021/11/15,557,507,747,35
17,330001,岡山県,2022/1/14,554,507,742,35
18,330001,岡山県,2022/2/1,554,629,746,36