"施設名","設置場所","住所","電話","備考","世界_10進_X","世界_10進_Y"
"津山市役所","津山市市役所１階医療保険課柱既設ボックス","津山市山北520","32-2021","","134.00434519703094","35.069130727004428"
"加茂支所","東風除室","津山市加茂町塔中104","32-7032","","134.05414178764224","35.178193738682111"
"阿波出張所","ロビー","津山市阿波1209-4","32-7042","","134.11239213928798","35.236981992688328"
"勝北支所","ロビー","津山市新野東567","32-7022","","134.11280442457996","35.104740631087857"
"久米支所","ロビー","津山市中北下1300","32-7011","","133.90022205715476","35.05944199663471"
"津山すこやか・こどもセンター","１階健康増進課事務室内","津山市山北800","32-2069","","134.00904874933752","35.06919522759776"
"津山すこやか・こどもセンター","１階健康増進課事務室内","津山市山北800","32-2069","","134.0091117772711","35.069199903386405"
"津山すこやか・こどもセンター","１階健康増進課事務室内","津山市山北800","32-2069","","134.00917483194388","35.069197818275988"
"津山市役所東庁舎","１階選挙管理委員会北会議室","津山市山北520","32-2143","","134.00702906088017","35.069748715013283"
"勝北風の子こども園","職員室","津山市新野東600-1","36-8844","","134.10921220041209","35.105651274725268"
"久米こども園","職員室","津山市南方中1744-1","57-2501","","133.90351500705793","35.057637275055264"
"津山市立加茂幼稚園","職員室 非常持ち出しロッカー上","津山市加茂町塔中147-1","42-3036","","134.0563618076134","35.179158872650582"
"東小学校","１階保健室内","津山市山北740","22-8268","","134.00875201820421","35.071445825721106"
"西小学校","１階玄関","津山市小田中1360","22-9194","","133.99210971063189","35.062306687193775"
"南小学校","１階職員室","津山市昭和町2-73-2","22-8145","","133.99617404352909","35.055081585918536"
"北小学校","１階職員室","津山市山北238","22-8168","","134.00085972170967","35.0694953280139"
"鶴山小学校","１階　１年生教室横廊下","津山市志戸部121","24-4701","","134.02306706270346","35.0793147053291"
"弥生小学校","１階職員室","津山市大田121","27-1530","","134.00955796725759","35.08601101720425"
"北陵中学校","１階事務室","津山市大田160","27-0321","","134.00944613957466","35.086904424141046"
"向陽小学校","１階保健室","津山市二宮608-1","28-0553","","133.96482515587709","35.060196331474032"
"院庄小学校","１階玄関","津山市院庄1041","28-0606","","133.94743098787376","35.06094453978281"
"佐良山小学校","体育館入り口","津山市皿657-2","28-0605","","133.96946347006156","35.044567756213596"
"一宮小学校","体育館ミーティングルーム","津山市東一宮87-1","27-0100","","133.99980815106952","35.101570740496406"
"高田小学校","１階保健室","津山市下横野1075","27-0345","","134.02441944012818","35.116171874783312"
"清泉小学校","１階職員室前廊下","津山市綾部407","29-1518","","134.07068354545572","35.119327278357048"
"高倉小学校","１階保健室前廊下","津山市下高倉西12","29-0709","","134.04338373942977","35.099682307295275"
"高倉公民館","玄関入りすぐ左側壁","津山市下高倉西58-4","29-1513","","134.04411440638032","35.099234656335049"
"高野公民館","玄関ホール左側壁","津山市高野本郷1683-2","26-1056","","134.05983333505151","35.075984412446893"
"高野小学校","１階職員室","津山市高野本郷1041","26-1609","","134.05251717043637","35.076167200895895"
"成名小学校","１階保健室","津山市野村135-2","29-1505","","134.07353391218041","35.090086295518759"
"成名公民館","玄関入り正面左側の壁","津山市野村134-3","29-3207","","134.07407298781519","35.089557843260053"
"河辺小学校","１階校長室","津山市国分寺505","26-1302","","134.04279078747402","35.049509458781642"
"河辺公民館","玄関入りすぐ左の壁","津山市国分寺592-8","26-6512","","134.03963726696287","35.048523779075296"
"大崎小学校","１階校長室前廊下","津山市金井76","26-1314","","134.06526924548496","35.0441952486257"
"広野小学校","１階職員室前廊下","津山市田熊1943","29-1501","","134.08234788756826","35.06985133481831"
"広野公民館","玄関入り右側壁","津山市田熊1927-4","29-0380","","134.08178185054524","35.069399432056045"
"加茂小学校","1階正面玄関","津山市加茂町塔中80","42-3023","","134.05588656433937","35.177656881641369"
"加茂町公民館","事務所入り口カウンターの上の壁","津山市加茂町塔中104","42-3035","","134.05444945762068","35.178120078373574"
"加茂中学校","１階職員室（１学期まで）、１階玄関公衆電話下（２学期）","津山市加茂町桑原280","42-3031","","134.0569801973277","35.174867159530656"
"めぐみ荘","めぐみ荘","津山市加茂町小中原143","42-7330","","134.05000051165459","35.178081890534905"
"阿波ふるさとふれあい会館","玄関ホール","津山市阿波3307","24-0202","","134.11332795864922","35.244411525885248"
"阿波森林公園（渓流茶屋）","阿波森林公園（渓流茶屋）","津山市阿波3108-4","46-2077","","134.12154783994819","35.245185647926732"
"津山市加茂町スポーツセンター","ロビー","津山市加茂町中原493-3","42-3358","","134.04677911211942","35.176161818221139"
"新野小学校","1階正面玄関","津山市西中591","36-2113","","134.10807383500239","35.109739517937925"
"広戸小学校","1階職員室","津山市市場1080-1","36-2047","","134.12356342847929","35.127978931487306"
"勝加茂小学校","1階職員玄関","津山市中村125","29-0195","","134.10183712741082","35.090420830702755"
"奥津川ラビンの里","玄関の中の西側壁","津山市奥津川867","42-4551","","134.10676067188425","35.16500952411873"
"喬松小学校","1階職員玄関","津山市坪井上100-1","57-2014","","133.8534802020049","35.061803693178966"
"中正小学校","1階職員室","津山市宮部下686","57-2010","","133.88411674974182","35.071005425067149"
"誠道小学校","1階保健室","津山市久米川南919","57-2785","","133.91910093887623","35.053982001952434"
"秀実小学校","1階職員室前廊下","津山市桑上1","57-3009","","133.91021822918694","35.023747949202338"
"津山東中学校","1階職員室","津山市押入1110","26-1413","","134.0377919361469","35.066296107933169"
"中道中学校","１階事務室前廊下","津山市勝部355","23-6755","","134.02111238784602","35.085788909158026"
"鶴山中学校","１階職員室","津山市山北290","22-8231","","133.99956696497523","35.0719257136728"
"西苫田公民館","玄関入り左側の壁","津山市小原67-1","24-3210","","134.000105523502","35.077680745489559"
"津山西中学校","1階職員室","津山市二宮1256-1","28-0141","","133.9722212027898","35.062402357333106"
"勝北中学校","1階職員室","津山市原371","36-2366","","134.10579989746108","35.100013072981106"
"久米総合文化運動公園市民プール","久米総合文化運動公園市民プール","津山市中北下1253","57-2311","","133.89919407803393","35.062063811634907"
"久米総合文化運動公園体育館","玄関ホール","津山市中北下1271","57-2900","","133.9004118926338","35.060344130161056"
"久米中学校","1階職員室前廊下","津山市南方中1487-1","57-2004","","133.89669692555682","35.054892781100662"
"大倭ふれあい学習館","玄関","津山市南方中1541-1","57-2180","","133.89882126751118","35.055864967118239"
"津山総合体育館","津山総合体育館","津山市山北669","24-0202","","134.00817484160638","35.069064430131178"
"津山東体育館","管理室","津山市林田1200-2","22-6623","","134.01466098140008","35.067501838603206"
"津山陸上競技場","事務所内","津山市志戸部245","24-3773","","134.01766799066439","35.082442349591382"
"津山スポーツセンター","野球場本部席","津山市勝部20-2","24-3773","","134.01710545240437","35.087547633745167"
"勝北総合スポーツ公園管理棟","管理棟事務所玄関ホール","津山市西下1100-1","36-5800","","134.08763961552802","35.105088885144411"
"グラスハウス","事務室","津山市大田512","27-7140","","134.00913324066386","35.096342811612047"
"リージョンセンター","事務室","津山市大田920","27-7150","","134.00265852108717","35.09244681870404"
"黒木キャンプ場","黒木キャンプ場黒木第３キャンプ場　管理棟内","津山市加茂町黒木646-9","42-7615","","134.04994169660824","35.236433846321063"
"久米ふれあい学習館","玄関","津山市宮尾471-1","57-2919","","133.92269879682613","35.053552519560817"
"大井西ふれあい学習館","玄関","津山市坪井上32-12","57-8676","","133.85397567368534","35.063317840436476"
"大井東ふれあい学習館","玄関","津山市宮部下860-1","57-2095","","133.88135448129324","35.070352877187609"
"倭文ふれあい学習館","玄関","津山市里公文1676-7","57-2413","","133.9086647750311","35.023235451001845"
"久米山ふれあいロッジ","ロビー","津山市神代1507-1","57-2143","","133.91835638106213","35.039175254055451"
"中央公民館","事務所右側壁","津山市大谷600","24-5111","","133.99355822387926","35.052728237554447"
"院庄公民館","玄関入り右側壁","津山市神戸187-4","28-0335","","133.94499712436738","35.060939026080085"
"一宮公民館","玄関入りすぐの研修室の壁","津山市東一宮84-1","27-0390","","133.99760323924306","35.100940398520144"
"高田公民館","玄関入りすぐ右側の壁","津山市下横野855-2","27-0371","","134.02592121895697","35.116500215270506"
"大崎公民館","玄関ホール階段と倉庫の間の壁","津山市福力221","26-1420","","134.06572116584604","35.045106724489315"
"清泉公民館","1階トイレと和室の間の壁","津山市堀坂256-2","29-1516","","134.07112705986776","35.123326757092087"
"東苫田公民館","玄関入り正面の壁面","津山市勝部20-7","22-2686","","134.01532763276316","35.085726550741782"
"二宮公民館","玄関入りすぐ左折廊下の壁","津山市二宮1982-2","28-3292","","133.96859732282346","35.06064043231607"
"佐良山公民館","玄関入りすぐ右側壁","津山市平福562","28-2543","","133.97144659172369","35.049114794655523"
"福南公民館","多目的トイレ横の壁","津山市押渕376","23-6374","","134.02612247755241","35.020391675705071"
"津山市立図書館","図書館入り口付近","津山市新魚町17","24-2919","","134.00046142795568","35.058895333209271"
"ふれあいサロン","事務室内","津山市南新座34","24-3600","","133.99819792474185","35.05745577999825"
"津山市総合斎場","会館棟待合ホール","津山市小田中1115","23-6548","","133.99221281591463","35.066512281330205"
"道の駅久米の里","道の駅久米の里","津山市宮尾563-1","57-7234","","133.92286734891633","35.056016322659694"
"林田小学校","1階職員室横玄関(東側入り口)","津山市川崎850","22-2764","","134.02564823944081","35.065055702015066"
"倭文保育所","職員室","津山市里公文1754-1","57-3021","","133.9065899282308","35.021839921860824"
"城西公民館","玄関入り会議室１と２の間の壁","津山市小田中1312-10","31-0102","","133.98982977617882","35.06218531621235"
"久米公民館","事務所内","津山市中北下1271","57-2936","","133.89975907243027","35.060438705024289"
"大久保会館","１階和室前","津山市久米川南2902-1","57-2351","","133.94427689548888","35.045206265921145"
"津山市加茂町斎場","ホール","津山市加茂町宇野2200-1","42-2911","","134.04077035271558","35.183203498379875"
"雇用労働センター","エントランス","津山市山下92-1","24-3633","","134.00667206777388","35.060965291077267"
"ときわ園","1階玄関","津山市井口100-1","0868-22-4973","","133.99066818361405","35.054387810006418"
"ウッディハウス加茂","ウッディハウス加茂","津山市加茂町中原516-1","0868-42-4466","","134.0458339150224","35.175668291749247"
"勝北公民館","玄関ホール エレベータ横柱","津山市新野東584","36-2101","","134.11083803108627","35.104788871995282"
"津山東公民館","事務室の外","津山市川崎796-2","32-1511","","134.02227484405191","35.065569944449855"
"みどりの丘保育所","玄関","津山市大田831-4","27-0300","","134.0043216856931","35.09405438320762"
"田邑公民館","玄関入りすぐの事務室の前","津山市下田邑114-1","28-0902","","133.96789541479691","35.081655566298942"
"あば温泉","１階ロビー","津山市阿波1200","46-7111","","134.11168102827432","35.235991083203537"
"津山市福岡体育館","１階柔道場内","津山市横山1234-1","24-0202","","134.00987975206988","35.053092724598976"
"中央児童館","事務室内","津山市山北765","22-2099","","134.00999041310985","35.074048645229375"
"南児童館","事務室内","津山市横山26-2","24-4400","","134.00435755468808","35.053713172093268"
"加茂児童館","事務室内","津山市加茂町中原97-1","42-3168","","134.05563652383745","35.174803314016508"
"阿波児童館","事務室内","津山市阿波1782-1","46-2076","","134.112182487112","35.238101684644533"
"交通観光案内所","事務室内","津山市横山14-31","32-2096","","134.00412394421141","35.05490566261912"
"津山東部小体育館","１階ロビー","津山市草加部1186-1","29-1092","","134.0728292514458","35.099576732364518"
"津山市西部小体育館","１階ロビー","津山市院庄1242-6","28-0787","","133.95362959045195","35.063805003366973"
"阿波こぶしアリーナ","１階事務室内","津山市阿波1785-2","32-7042","","134.1124787827404","35.237363797915549"
"津山市立つやま東幼稚園","職員室","津山市高野本郷1270-1","20-1971","","134.05055030864185","35.072759872085342"
"津山市立津山西幼稚園","職員室南入口付近","津山市二宮1982-2","32-8071","","133.968243871342","35.060598324420845"
